sentence_index	sentence
1	The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .
2	The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .
3	Effective but too-tepid biopic
4	If you sometimes like to go to the movies to have fun , Wasabi is a good place to start .
5	Emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .
6	The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .
7	Offers that rare combination of entertainment and education .
8	Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .
9	Steers turns in a snappy screenplay that curls at the edges ; it 's so clever you want to hate it .
10	But he somehow pulls it off .
11	Take Care of My Cat offers a refreshingly different slice of Asian cinema .
12	This is a film well worth seeing , talking and singing heads and all .
13	What really surprises about Wisegirls is its low-key quality and genuine tenderness .
14	-LRB- Wendigo is -RRB- why we go to the cinema : to be fed through the eye , the heart , the mind .
15	One of the greatest family-oriented , fantasy-adventure movies ever .
16	Ultimately , it ponders the reasons we need stories so much .
17	An utterly compelling ` who wrote it ' in which the reputation of the most famous author who ever lived comes into question .
18	Illuminating if overly talky documentary .
19	A masterpiece four years in the making .
20	The movie 's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .
